Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Military expenditure (current USD),MS.MIL.XPND.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,2939585.50125376,..,..,3341271.55123016,3581366.35143003,4203664.56865451,5393251.2159455,6127288.0633346,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,125111557.457054,122727193.134874,131346231.269517,219580214.296198,240532594.620985,251869514.820335,298146852.519599,325807003.657989,238583385.374322,217194107.113298,268227074.235808,199518614.831897,185878310.062383,191407113.244397,198086263.3245
Military expenditure (current USD),MS.MIL.XPND.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31559657.4817579,39289843.4285042,49649504.9316606,50907521.7778257,45713356.1086709,29825491.9997583,33638047.439804,42784205.2131221,45362503.3922719,53232045.1615151,58649352.5025864,76142881.7606657,100922358.435493,110140852.685934,140983900.659916,194840309.240843,255677957.818501,182736862.497776,185893241.995074,197006789.236335,183204695.660212,180015508.820867,178120368.027763,132350667.590834,130853162.620284,144382688.719935,180488725.123503
Military expenditure (current USD),MS.MIL.XPND.CD,Algeria,DZA,..,..,..,66436300.1462409,99856999.9149291,105528391.390828,104515642.912989,99249350.8282257,99249350.8282257,99249350.8282257,98844251.4370901,99946261.0734758,109942841.328331,136757097.791798,260168630.030497,332252159.18327,480640373.503177,471669447.954548,627852442.068635,711681247.356142,890174464.813874,806569334.609262,932452707.749462,952430671.56699,929290821.271549,953299653.924182,1127103217.13537,1196971384.03296,1028611425.29633,854300945.251138,904269155.155841,565098062.567328,1053301642.69261,1276911083.12558,1334911647.6746,1234655191.58587,1452431007.74627,1752395277.54721,1910962052.4694,1826496569.97712,1881163649.11945,2091627274.4933,2100602520.77322,2206395762.00013,2802224794.13161,2924820166.95712,3093978245.36867,3945815125.46831,5172336907.04026,5280588155.94226,5671309117.30702,8652237040.00252,9326287144.03632,10161588239.1481,9724379971.92326,10412714002.8964,10217081699.5693,10073364021.3013,9583724288.3703
Military expenditure (current USD),MS.MIL.XPND.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,343271609.064777,504712881.877131,497359449.16104,618891637.14152,668493883.280968,778628250.551507,1066247743.83314,1146467009.82686,1156494418.07607,1487398890.30015,1469382980.14573,1948559395.68153,1751153151.94866,1031247788.04428,794138821.161656,1774397876.82742,594991178.694447,233843714.8893,159741933.468199,456780475.026196,170278292.568682,1066588789.23285,583621333.598924,404299139.990661,438686245.411232,670021164.432494,817533582.152083,1365055398.69044,1970309115.18376,2032432883.4343,3163591147.40902,3311193245.27722,3500794836.44649,3639496373.5446,4144634851.46856,6090751702.00884,6841864484.31861,3608299114.61674,2764054937.15976,3062872913.98381,1983613748.00089
Military expenditure (current USD),MS.MIL.XPND.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Argentina,ARG,..,..,305162407.203668,242219771.188823,245740498.034076,252407602.894431,279225436.289744,251930719.052261,337142857.142857,442857142.857143,445713893.877895,519719484.172883,766000000,1294000000,1626000000,798359535.20164,2050248958.80214,2058223941.63377,3103989946.59127,5057062803.25292,6477389013.47732,5882767126.46132,2279872697.46359,2848053181.38652,2527749814.85341,2027221261.23072,2449545720.61181,2485659655.83174,2696341658.47862,1440922190.20173,2050907629.17129,2858778842.10019,3254455191.68378,3368550452.17659,3754724686.88939,3801950487.62191,3379138769.76541,3340670335.16758,3398699349.67484,3461730865.43272,3266633316.65833,3183591795.89795,1114172482.91036,1374873734.32668,1465809188.24616,1699579151.82907,1847553129.83947,2296448241.88781,2788980204.56974,2981852290.09382,3475348407.46349,4051930104.57065,4563217858.77234,5137974300.9699,4979442724.4582,5482616700.96393,4509647660.05234,5459643672.45401,4144991771.42212
Military expenditure (current USD),MS.MIL.XPND.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9829763.86600769,..,52228583.8170226,52410268.5482839,64062121.1905135,66757573.0568511,68234148.5659606,68052142.0654426,66247626.4597048,64106405.6523643,76587998.887282,98070488.1985412,140738102.677157,188189116.431112,280108688.343921,395994365.442251,359499343.487034,395011507.787829,390871433.902191,380571678.896068,444551859.501106,457807021.791353,447379807.506819,431396218.601658,443610413.340995,608854649.862522
Military expenditure (current USD),MS.MIL.XPND.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
